지정상품(국문),NICE분류,유사군코드,지정상품(영문),
비금속제 신발은못 판매알선업,35,S2027,"Sales arranging of shoe dowels, not of metal",
개인용 비전기식 부채 판매알선업,35,S2027,"Sales arranging of fans for personal use, non-electric",
부채 판매알선업,35,S2027,Sales arranging of hand-held flat fans,
접이식 부채 판매알선업,35,S2027,Sales arranging of hand-held folding fans,
나사부착용 비금속제 확장슬리브 판매알선업,35,S2030,"Sales arranging of expanding sleeves, not of metal, for affixing screws",
비금속제 걸쇠 판매알선업,35,S2030,"Sales arranging of latches, not of metal",
비금속제 걸쇠 판매알선업,35,S2030,Sales arranging of non-metal latches,
비금속제 나사 판매알선업,35,S2030,"Sales arranging of screws, not of metal",
비금속제 나사못 판매알선업,35,S2030,Sales arranging of screwnails not of metal,
비금속제 너트 판매알선업,35,S2030,"Sales arranging of nuts, not of metal",
비금속제 대갈못 판매알선업,35,S2030,Sales arranging of nails with a big head (not of metal),
비금속제 리벳(rivet) 판매알선업,35,S2030,"Sales arranging of rivets, not of metal",
비금속제 리벳(rivet) 판매알선업,35,S2030,Sales arranging of non-metal rivets,
비금속제 못 판매알선업,35,S2030,"Sales arranging of non-metal fasteners, namely, nails",
비금속제 볼트 판매알선업,35,S2030,"Sales arranging of bolts, not of metal",
비금속제 빗장 판매알선업,35,S2030,"Sales arranging of latch bars, not of metal",
비금속제 실내장식용 납작못 판매알선업,35,S2030,Sales arranging of non-metal upholstery tacks,
비금속제 심 판매알선업,35,S2030,"Sales arranging of shims, not of metal",
비금속제 쐐기 판매알선업,35,S2030,"Sales arranging of pegs [pins], not of metal",
비금속제 앵커 볼트 판매알선업,35,S2030,"Sales arranging of anchor bolts, not of metal",
비금속제 장부촉 판매알선업,35,S2030,Sales arranging of dowels not of metal,
비금속제 장부촉 판매알선업,35,S2030,"Sales arranging of dowels, not of metal",
비금속제 조임나사 판매알선업,35,S2030,"Sales arranging of threaded fasteners, not of metal",
비금속제 좌금(座金)(고무제 또는 경화섬유제는 제외) 판매알선업,35,S2030,Sales arranging of washers (not of metal nor of rubber or vulcanized fibers),
비금속제 케이블결합나사 판매알선업,35,S2030,"Sales arranging of binding screws, not of metal, for cables",
비금속제 코터 핀 판매알선업,35,S2030,"Sales arranging of cotter pins, not of metal",
비금속제 핀 판매알선업,35,S2030,"Sales arranging of pins [pegs], not of metal",
액자 벽 고정용 앵커 판매알선업,35,S2030,"Sales arranging of fastening anchors, not of metal, for securing pictures to walls",
플라스틱제 좌금 판매알선업,35,S2030,Sales arranging of washers of plastic,
금속제 커튼링 판매알선업,35,S2030,Sales arranging of curtain rings of metal,
비금속제 도어볼트 판매알선업,35,S2030,"Sales arranging of door bolts, not of metal",
비금속제 비전기식 맹꽁이자물쇠 판매알선업,35,S2030,"Sales arranging of padlocks, other than electronic, not of metal",
비금속제 비전기식 자물쇠 판매알선업,35,S2030,"Sales arranging of locks, other than electric, not of metal",
비금속제 자전거 자물쇠 판매알선업,35,S2030,"Sales arranging of bicycle locks, not of metal",
비금속제 커튼 링 판매알선업,35,S2030,"Sales arranging of curtain rings, not of metal",
비금속제 커튼용 고리 판매알선업,35,S2030,Sales arranging of curtain hooks (not of metal),
비직물제 커튼홀더 판매알선업,35,S2030,"Sales arranging of curtain holders, not of textile material",
샤워커튼용 고리 판매알선업,35,S2030,Sales arranging of shower curtain hooks,
샤워커튼용 링 판매알선업,35,S2030,Sales arranging of shower curtain rings,
샤워커튼용 막대 판매알선업,35,S2030,Sales arranging of shower curtain rods,
수송기계기구용 비금속제 자물쇠 판매알선업,35,S2030,"Sales arranging of locks, not of metal, for vehicles",
열쇠용 비금속제 분할링 판매알선업,35,S2030,"Sales arranging of split rings, not of metal, for keys",
옷걸이레일용 비금속제 고리 판매알선업,35,S2030,"Sales arranging of hooks, not of metal, for clothes rails",
커튼용 레일 판매알선업,35,S2030,Sales arranging of curtain rails,
커튼용 롤러 판매알선업,35,S2030,Sales arranging of curtain rollers,
커튼용 링 판매알선업,35,S2030,Sales arranging of curtain rings,
커튼용 막대 판매알선업,35,S2030,Sales arranging of curtain rods,
커튼용 훅 판매알선업,35,S2030,Sales arranging of curtain hooks,
플라스틱제 수갑용 스트립 판매알선업,35,S2030,Sales arranging of plastic handcuff strips,
플라스틱제 열쇠 판매알선업,35,S2030,Sales arranging of plastic keys,
플라스틱제 열쇠카드(인코딩 및 자기식 제외) 판매알선업,35,S2030,"Sales arranging of plastic key cards, not encoded and not magnetic",
나무작업대 판매알선업,35,S2031,Sales arranging of saw horses,
비금속제 나무작업대 브래킷 판매알선업,35,S2031,"Sales arranging of sawhorse brackets, not of metal",
건축물용 플라스틱제 경첩 판매알선업,35,S2033,Sales arranging of hinges of plastic for buildings,
목제 문고정기 판매알선업,35,S2033,Sales arranging of door stops of wood,
목제 문손잡이 판매알선업,35,S2033,Sales arranging of door handles of wood,
문고정기(금속제 또는 고무제는 제외) 판매알선업,35,S2033,"Sales arranging of door stops, not of metal or rubber",
비금속제 경첩 판매알선업,35,S2033,"Sales arranging of hinges, not of metal",
비금속제 경첩 판매알선업,35,S2033,Sales arranging of non-metal hinges,
비금속제 도어 힌지 판매알선업,35,S2033,"Sales arranging of door hinges, not of metal",
비금속제 문 고정구 판매알선업,35,S2033,"Sales arranging of door fasteners, not of metal",
비금속제 문 및 창문 힌지 판매알선업,35,S2033,"Sales arranging of hinges, not of metal, for doors and windows",
비금속제 문걸쇠 판매알선업,35,S2033,Sales arranging of non-metal door latches,
비금속제 문노크장치 판매알선업,35,S2033,"Sales arranging of door knockers, not of metal",
비금속제 문노크장치 판매알선업,35,S2033,Sales arranging of door knockers not of metal,
비금속제 문부속품 판매알선업,35,S2033,"Sales arranging of door fittings, not of metal",
비금속제 문부속품 판매알선업,35,S2033,Sales arranging of non-metal door fittings,
비금속제 문손잡이 판매알선업,35,S2033,"Sales arranging of door handles, not of metal",
비금속제 문용 트림 판매알선업,35,S2033,"Sales arranging of door trims, not of metal",
비금속제 비전기식 도어벨 판매알선업,35,S2033,"Sales arranging of door bells, not of metal, non-electric",
비금속제 비전기식 도어벨 판매알선업,35,S2033,"Sales arranging of door bells not of metal, non-electric",
비금속제 비전기식 도어스프링 판매알선업,35,S2033,"Sales arranging of door springs, not of metal, non-electric",
비금속제 비전기식 문닫힘장치 판매알선업,35,S2033,"Sales arranging of door closers, not of metal, non-electric",
비금속제 비전기식 문열림장치 판매알선업,35,S2033,"Sales arranging of door openers, not of metal, non-electric",
비금속제 비전기식 창문 닫힘장치 판매알선업,35,S2033,"Sales arranging of window closers, not of metal, non-electric",
비금속제 비전기식 창문 열림장치 판매알선업,35,S2033,"Sales arranging of window openers, not of metal, non-electric",
비금속제 손잡이 판매알선업,35,S2033,"Sales arranging of knobs, not of metal",
비금속제 손잡이 판매알선업,35,S2033,Sales arranging of non-metal knobs,
비금속제 창문 고정구 판매알선업,35,S2033,"Sales arranging of window fasteners, not of metal",
비금속제 창문 도르래 판매알선업,35,S2033,"Sales arranging of sash pulleys, not of metal",
비금속제 창문 도르래 판매알선업,35,S2033,"Sales arranging of window pulleys, not of metal",
비금속제 창문 부속품 판매알선업,35,S2033,"Sales arranging of window fittings, not of metal",
비금속제 창문 손잡이 판매알선업,35,S2033,"Sales arranging of window handles, not of metal",
비금속제 창문 힌지 판매알선업,35,S2033,"Sales arranging of window hinges, not of metal",
비금속제 창문용 내리닫이창 고정구 판매알선업,35,S2033,"Sales arranging of sash fasteners, not of metal, for windows",
비금속제 창문용 트림 판매알선업,35,S2033,"Sales arranging of window trims, not of metal",
비금속제 창문틀 활차 판매알선업,35,S2033,Sales arranging of window frame pulleys (not of metal),
비금속제 플로어힌지 판매알선업,35,S2033,"Sales arranging of floor hinges, not of metal",
비금속제/비확대식 도어뷰어 판매알선업,35,S2033,"Sales arranging of door viewers, not of metal [non-magnified]",
수송기계기구용 플라스틱제 경사판 판매알선업,35,S2033,Sales arranging of plastic ramps for use with vehicles,
자기제 문손잡이 판매알선업,35,S2033,Sales arranging of door handles of porcelain,
차고문용 플라스틱제 롤러 판매알선업,35,S2033,Sales arranging of rollers of plastic for garage doors,
창문고정기(금속제 또는 고무제는 제외) 판매알선업,35,S2033,"Sales arranging of window stops, not of metal or rubber",
토기제 문손잡이 판매알선업,35,S2033,Sales arranging of doorknobs of earthenware,
플라스틱제 문고정기 판매알선업,35,S2033,Sales arranging of door stops of plastic,
플라스틱제 문손잡이 판매알선업,35,S2033,Sales arranging of door handles of plastic,
반사경 타일 판매알선업,35,S2033,Sales arranging of mirror tiles,
제도대(製圖臺) 판매알선업,35,S2036,Sales arranging of draughtsman's tables,
제도대(製圖臺) 판매알선업,35,S2036,Sales arranging of drafting tables,
미용실용 의자 판매알선업,35,S2036,Sales arranging of chairs for beauty salons,
미용치료용 안락의자 판매알선업,35,S2036,Sales arranging of lounge chairs for cosmetic treatments,
이미용 의자 판매알선업,35,S2036,Sales arranging of hairdressers' chairs,
이발소용 의자 판매알선업,35,S2036,Sales arranging of barbers' chairs,
화차용 비금속제 하역계측봉 판매알선업,35,S2037,"Sales arranging of loading gauge rods, not of metal, for railway wagons",
운송용 비금속제 팰릿 판매알선업,35,S2037,"Sales arranging of transport pallets, not of metal",
하역용 비금속제 팰릿 판매알선업,35,S2037,"Sales arranging of handling pallets, not of metal",
하역용 비금속제 팰릿 판매알선업,35,S2037,"Sales arranging of loading pallets, not of metal",
비금속제 계선부표 판매알선업,35,S2037,"Sales arranging of mooring buoys, not of metal",
비금속제 도크 밧줄걸이 판매알선업,35,S2037,"Sales arranging of dock cleats, not of metal",
사료선반 판매알선업,35,S2038,Sales arranging of fodder racks,
파판 판매알선업,35,S2038,Sales arranging of seeding boards,
벌집 판매알선업,35,S2038,Sales arranging of honeycombs,
벌집용 소초 판매알선업,35,S2038,Sales arranging of comb foundations for beehives,
벌통 판매알선업,35,S2038,Sales arranging of beehives,
벌통용 목제 칸막이 판매알선업,35,S2038,Sales arranging of sections of wood for beehives,
훈연기(벌통용에 한함) 판매알선업,35,S2038,Sales arranging of smokers (limited to beehives),
금속제 호스클램프용 플라스틱제 커버 판매알선업,35,S2038,Sales arranging of plastic covers for metal hose clamps,
급배수용 플라스틱제 밸브(기계의 부품은 제외) 판매알선업,35,S2038,Sales arranging of plastic valves for water supply and drainage (except parts of machines),
배수용 플라스틱제 트랩(밸브) 판매알선업,35,S2038,Sales arranging of drain traps [valves] of plastic,
비금속제 밸브(기계의 부품은 제외) 판매알선업,35,S2038,"Sales arranging of valves, not of metal, other than parts of machines",
비금속제 수동식 정원용 호스릴 판매알선업,35,S2038,"Sales arranging of hand-operated garden hose reels, not of metal",
비금속제 파이프 및 케이블클립 판매알선업,35,S2038,"Sales arranging of clips, not of metal, for cables and pipes",
비금속제 파이프 클립 판매알선업,35,S2038,"Sales arranging of pipe clips, not of metal",
비금속제 호스클립 판매알선업,35,S2038,"Sales arranging of hose clips, not of metal",
수도관용 플라스틱제 밸브 판매알선업,35,S2038,Sales arranging of water-pipe valves of plastic,
수동식 세라믹 밸브(기계의 부품은 제외) 판매알선업,35,S2038,Sales arranging of manually operated ceramic valves other than parts of machines,
신축호스 권상용 비금속제 비기계식 스풀 판매알선업,35,S2038,Sales arranging of non-mechanical winding spools for flexible hoses (not of metal),
신축호스 권상용 비금속제 스풀(비기계용) 판매알선업,35,S2038,"Sales arranging of winding spools, not of metal, non-mechanical, for flexible hoses",
신축호스용 비금속제 릴(비기계용) 판매알선업,35,S2038,"Sales arranging of reels, not of metal, non-mechanical, for flexible hoses",
신축호스용 비금속제 비기계식 릴 판매알선업,35,S2038,Sales arranging of non-mechanical reels for flexible hoses (not of metal),
컨테이너용 비금속제 밸브 판매알선업,35,S2038,"Sales arranging of valves, not of metal, for containers",
파이프고정용 비금속제 이음고리 판매알선업,35,S2038,"Sales arranging of collars, not of metal, for fastening pipes",
플라스틱제 배수용 밸브(기계의 부품은 제외) 판매알선업,35,S2038,Sales arranging of water outlets valves of plastic for water pipes (other than parts of machines),
플라스틱제 밸브(기계부품은 제외) 판매알선업,35,S2038,Sales arranging of valves of plastic being other than machine parts,
플라스틱제 수도관용 밸브(기계의 부품은 제외) 판매알선업,35,S2038,Sales arranging of water-pipe valves of plastics (other than parts of machines),
플라스틱제 앵글밸브(기계부품은 제외) 판매알선업,35,S2038,"Sales arranging of angle valves of plastics, other than parts of machines",
플라스틱제 케이블 또는 파이프클립(기계의 부품은 제외) 판매알선업,35,S2038,Sales arranging of cable and pipe clips of plastics (other than parts of machines),
플라스틱제 케이블클립 판매알선업,35,S2038,Sales arranging of cable clips of plastics,
플라스틱제 파이프클립 판매알선업,35,S2038,Sales arranging of pipe clips of plastics,
벽고정식 총 받침대 판매알선업,35,S2042,Sales arranging of wall-mounted gun racks,
총가(銃架) 판매알선업,35,S2042,Sales arranging of gun racks,
놀이틀 판매알선업,35,S2043,Sales arranging of playpens,
유아 놀이틀용 깔개 판매알선업,35,S2043,Sales arranging of mats for infant playpens,
유아용 놀이틀 판매알선업,35,S2043,Sales arranging of playpens for babies,
유아용 보행기 판매알선업,35,S2043,Sales arranging of infant walkers,
유아용 보행기 판매알선업,35,S2043,Sales arranging of baby walkers,
유아용 안전문 판매알선업,35,S2043,Sales arranging of safety gates for infants,
비금속제 텐트 팩 판매알선업,35,S2043,"Sales arranging of tent pegs, not of metal",
비금속제 텐트기둥 판매알선업,35,S2043,"Sales arranging of tent poles, not of metal",
침낭패드 판매알선업,35,S2043,Sales arranging of sleeping bag pads,
캠핑용 가구 판매알선업,35,S2043,Sales arranging of camping furniture,
캠핑용 가구 판매알선업,35,S2043,Sales arranging of furniture for camping,
캠핑용 매트 판매알선업,35,S2043,Sales arranging of camping mats,
캠핑용 매트리스 판매알선업,35,S2043,Sales arranging of camping mattresses,
캠핑용 의자 판매알선업,35,S2043,Sales arranging of camping chairs,
낚시바구니 판매알선업,35,S2043,Sales arranging of fishing baskets,
낚시의자 판매알선업,35,S2043,Sales arranging of fishing chairs,
견과의 껍질로 만든 조각품 판매알선업,35,S2052,Sales arranging of works of art of nutshell,
골제 상(像) 판매알선업,35,S2052,Sales arranging of statues of bone,
등나무제 상 판매알선업,35,S2052,Sales arranging of figures made of rattan,
목각 판매알선업,35,S2052,Sales arranging of wood carvings,
목제 상(像) 판매알선업,35,S2052,Sales arranging of statues of wood,
목제 조각품 판매알선업,35,S2052,Sales arranging of works of art made of wood,
목제/밀랍제/석고제 또는 플라스틱제 마리아상 판매알선업,35,S2052,Sales arranging of statues of the Virgin Mary of wood/wax/plaster or plastics,
목제/밀랍제/석고제 또는 플라스틱제 불상 판매알선업,35,S2052,Sales arranging of statues of Buddha of wood/wax/plaster or plastics,
목제/밀랍제/석고제 또는 플라스틱제 상(像) 판매알선업,35,S2052,"Sales arranging of statues of wood, wax, plaster or plastic",
목제/밀랍제/석고제 또는 플라스틱제 소입상(小立像) 판매알선업,35,S2052,"Sales arranging of figurines of wood, wax, plaster or plastic",
목제/밀랍제/석고제 또는 플라스틱제 소입상(小立像) 판매알선업,35,S2052,"Sales arranging of statuettes of wood, wax, plaster or plastic",
목제/밀랍제/석고제 또는 플라스틱제 십자가상(장신구는 제외) 판매알선업,35,S2052,"Sales arranging of crucifixes of wood, wax, plaster or plastic, other than jewelry",
목제/밀랍제/석고제 또는 플라스틱제 십자가상(장신구는 제외) 판매알선업,35,S2052,"Sales arranging of crucifixes of wood, wax, plaster or plastic, other than jewellery",
목제/밀랍제/석고제 또는 플라스틱제 예수상 판매알선업,35,S2052,Sales arranging of statues of Jesus of wood/wax/plaster or plastics,
목제/밀랍제/석고제 또는 플라스틱제 조각품 판매알선업,35,S2052,"Sales arranging of works of art of wood, wax, plaster or plastic",
목제/밀랍제/석고제 또는 플라스틱제 흉상 판매알선업,35,S2052,"Sales arranging of busts of wood, wax, plaster or plastic",
목제조각 판매알선업,35,S2052,Sales arranging of wooden sculptures,
밀랍제 미술품 판매알선업,35,S2052,Sales arranging of works of art made of wax,
밀랍제 상(像) 판매알선업,35,S2052,Sales arranging of statues of wax,
밀랍제 조각 판매알선업,35,S2052,Sales arranging of sculptures made of wax,
밀랍제 조각품 판매알선업,35,S2052,Sales arranging of works of art of wax,
뼈 또는 상아제 소입상 판매알선업,35,S2052,Sales arranging of figurines [statuettes] of bone or ivory,
뼈 또는 상아제 흉상 판매알선업,35,S2052,Sales arranging of busts of bone or ivory,
뼈/상아/석고/플라스틱/밀랍/목제 상 판매알선업,35,S2052,"Sales arranging of statues of bone, ivory, plaster, plastic, wax or wood",
뼈/상아/석고/플라스틱/밀랍/목제 소입상 판매알선업,35,S2052,"Sales arranging of figures of bone, ivory, plaster, plastic, wax or wood",
뼈/상아/석고/플라스틱/밀랍/목제 장식품(크리스마스 트리용 장식품은 제외) 판매알선업,35,S2052,"Sales arranging of ornaments of bone, ivory, plaster, plastic, wax or wood, other than Christmas tree ornaments",
뼈/상아/석고/플라스틱/밀랍/목제 조각 판매알선업,35,S2052,"Sales arranging of sculptures of bone, ivory, plaster, plastic, wax or wood",
뼈/상아/석고/플라스틱/밀랍/목제 탁상용 조소상 판매알선업,35,S2052,"Sales arranging of desktop statuary made of bone, ivory, plaster, plastic, wax or wood",
뼈조각품 판매알선업,35,S2052,Sales arranging of bone carvings,
상아제 상(像) 판매알선업,35,S2052,Sales arranging of statues of ivory,
석고제 상(像) 판매알선업,35,S2052,Sales arranging of statues of plaster,
석고제 조각 판매알선업,35,S2052,Sales arranging of sculptures made of plaster,
석고제 조각품 판매알선업,35,S2052,Sales arranging of works of art made of plaster,
성형된 플라스틱제 부활절 달걀 판매알선업,35,S2052,Sales arranging of molded plastic Easter eggs,
수지제 소입상 판매알선업,35,S2052,Sales arranging of statuettes of resin,
차가운 주형수지제 소입상 판매알선업,35,S2052,Sales arranging of cold cast resin figurines,
플라스틱제 상(像) 판매알선업,35,S2052,Sales arranging of statues of plastic,
플라스틱제 조각 판매알선업,35,S2052,Sales arranging of plastic sculptures,
플라스틱제 조각품 판매알선업,35,S2052,Sales arranging of works of art of plastic,
마네킹 판매알선업,35,S2052,Sales arranging of mannequins,
식품견본모형 판매알선업,35,S2052,Sales arranging of imitation foods for display made of plastic materials,
양복용 인체모형 판매알선업,35,S2052,Sales arranging of tailors' dummies,
의복진열용 실물크기 인체모형 판매알선업,35,S2052,Sales arranging of life-size forms of the human body to display clothes,
재단용 인체모형 판매알선업,35,S2052,Sales arranging of dressmakers' dummies,
플라스틱제 인조식품 판매알선업,35,S2052,Sales arranging of imitation foods comprised of plastic,
가정용 헤어 액세서리 고정용 캐디 판매알선업,35,S2012,Sales arranging of caddies for holding hair accessories for household and domestic use,
굵은빗살형 머리빗 판매알선업,35,S2012,Sales arranging of large-toothed combs for the hair,
굵은빗살형 머리빗 판매알선업,35,S2012,Sales arranging of wide tooth combs for hair,
귀금속제 분갑(내용물이 없는 것) 판매알선업,35,S2012,Sales arranging of powder compacts of precious metal [sold empty],
내용물이 채워지지 않은 분갑 판매알선업,35,S2012,Sales arranging of powder compacts sold empty,
내용물이 채워지지 않은 화장용 콤팩트 판매알선업,35,S2012,Sales arranging of compacts sold empty,
눈썹그리는 솔 판매알선업,35,S2012,Sales arranging of eyebrow brushes,
눈화장용구 판매알선업,35,S2012,Sales arranging of eye make-up applicators,
두피 스크레쳐 판매알선업,35,S2012,Sales arranging of scalp scratchers,
뒷머리용 빗 판매알선업,35,S2012,Sales arranging of combs for back-combing hair,
등긁개 판매알선업,35,S2012,Sales arranging of itch scratchers,
등긁개 판매알선업,35,S2012,Sales arranging of back scratchers,
매니큐어용 쟁반 판매알선업,35,S2012,Sales arranging of trays for use in fingernail polishing,
머리솔 판매알선업,35,S2012,Sales arranging of hair brushes,
머리솔 판매알선업,35,S2012,Sales arranging of hairbrushes,
모발염색용 브러시 판매알선업,35,S2012,Sales arranging of brushes for use in hair tinting,
모발염색용 브러시 판매알선업,35,S2012,Sales arranging of hair color application brushes,
모발염색용 사발 판매알선업,35,S2012,Sales arranging of bowls for use in hair tinting,
바디파우더를 도포한 스펀지 판매알선업,35,S2012,Sales arranging of sponges for applying body powder,
분첩 판매알선업,35,S2012,Sales arranging of powder puffs,
분통 판매알선업,35,S2012,Sales arranging of cases for cosmetic face powder,
비귀금속제 분갑 판매알선업,35,S2012,"Sales arranging of powder compacts, not of precious metal",
비누 제조용 가정용 플라스틱제 몰드 판매알선업,35,S2012,Sales arranging of plastic molds for household use in making soap,
비전기식 화장용 솔 판매알선업,35,S2012,Sales arranging of non-electric makeup brushes,
비전기식 화장제거기구 판매알선업,35,S2012,"Sales arranging of make-up removing appliances, non-electric",
비전기식 화장제거용구 판매알선업,35,S2012,"Sales arranging of appliances for removing make-up, non-electric",
빈 향수분무기 판매알선업,35,S2012,"Sales arranging of vaporizers for perfume, empty",
빈 화장용 드로퍼 판매알선업,35,S2012,"Sales arranging of droppers, empty, for cosmetic purposes",
빈 화장용 콤팩트 판매알선업,35,S2012,"Sales arranging of powder compacts, empty",
빗 판매알선업,35,S2012,Sales arranging of combs,
빗케이스 판매알선업,35,S2012,Sales arranging of comb cases,
속눈썹 그리는 솔 판매알선업,35,S2012,Sales arranging of eyelash brushes,
속눈썹 분리기 판매알선업,35,S2012,Sales arranging of eyelash separators,
속눈썹용 빗 판매알선업,35,S2012,Sales arranging of eyelash combs,
손톱솔 판매알선업,35,S2012,Sales arranging of nail brushes,
아로마 오일 디퓨져용 판 판매알선업,35,S2012,Sales arranging of plates for diffusing aromatic oil,
인체용 방취기구 판매알선업,35,S2012,Sales arranging of deodorising apparatus for personal use,
인체용 방취기구 판매알선업,35,S2012,Sales arranging of deodorizing apparatus for personal use,
입술용 브러시 판매알선업,35,S2012,Sales arranging of lip brushes,
탈모제용 화장용 주걱 판매알선업,35,S2012,Sales arranging of cosmetic spatulas for use with depilatory preparations,
페디큐어용 폼제 토우세퍼레이터 판매알선업,35,S2012,Sales arranging of foam toe separators for use in pedicures,
페이셜버핑용 패드 판매알선업,35,S2012,Sales arranging of facial buffing pads,
페이셜클렌징용 브러시 판매알선업,35,S2012,Sales arranging of facial cleansing brushes,
페이셜클렌징용 스펀지 판매알선업,35,S2012,Sales arranging of facial cleansing sponges,
페이셜티슈용 디스펜서 판매알선업,35,S2012,Sales arranging of dispensers for facial tissues,
핸드크림디스펜서 판매알선업,35,S2012,Sales arranging of handcream dispenser,
향수버너 판매알선업,35,S2012,Sales arranging of perfume burners,
향수분무기 판매알선업,35,S2012,Sales arranging of perfume sprayers,
향수분무기 판매알선업,35,S2012,Sales arranging of perfume vaporizers,
향수용 분무기(내용물이 없는 것) 판매알선업,35,S2012,Sales arranging of vaporizers for perfume sold empty,
화장용 면봉대 판매알선업,35,S2012,Sales arranging of applicator sticks for applying make-up,
화장용 미세연마스펀지 판매알선업,35,S2012,Sales arranging of microdermabrasion sponges for cosmetic use,
화장용 브러시 판매알선업,35,S2012,Sales arranging of brushes for applying make-up,
화장용 솔 판매알선업,35,S2012,Sales arranging of make-up brushes,
화장용 솔 판매알선업,35,S2012,Sales arranging of cosmetic brushes,
화장용 솔세트 판매알선업,35,S2012,Sales arranging of makeup brush sets,
화장용 솔홀더 판매알선업,35,S2012,Sales arranging of makeup brush holders,
화장용 스펀지 판매알선업,35,S2012,Sales arranging of make-up sponges,
화장용 스펀지 판매알선업,35,S2012,Sales arranging of toilet sponges,
화장용 안면스펀지 판매알선업,35,S2012,Sales arranging of facial sponges for applying make-up,
화장용 주걱 판매알선업,35,S2012,Sales arranging of cosmetic spatulas,
화장용 팔레트(내용물이 없는 것) 판매알선업,35,S2012,"Sales arranging of cosmetic palettes, sold empty",
화장용구 판매알선업,35,S2012,Sales arranging of cosmetic utensils,
화장용구 판매알선업,35,S2012,Sales arranging of toilet utensils,
화장용구 케이스(화장용구가 채워진 것) 판매알선업,35,S2012,Sales arranging of fitted vanity cases,
솔 판매알선업,35,"S2012,S2013,S2014,S2018,S2027,S2031,S2038,S2039",Sales arranging of brushes,
솔(페인트 솔은 제외) 판매알선업,35,"S2012,S2013,S2014,S2018,S2027,S2031,S2038,S2039",Sales arranging of brushes [except paint brushes],
빗 및 스펀지 판매알선업,35,"S2012,S2014,S2018,S2038,S2039,S2045",Sales arranging of combs and sponges,
스펀지 판매알선업,35,"S2012,S2014,S2018,S2045",Sales arranging of sponges,
전기식 및 비전기식 양초 워머 판매알선업,35,"S2012,S2039","Sales arranging of candle warmers, electric and non-electric",
화장제거기구 판매알선업,35,"S2012,S2039",Sales arranging of make-up removing appliances,
가정용 치아미백용 트레이 판매알선업,35,S2013,Sales arranging of teeth whitening trays [receptacles] for home use,
덴탈플로스 판매알선업,35,S2013,Sales arranging of dental floss,
미세모칫솔 판매알선업,35,S2013,Sales arranging of end-tufted toothbrushes,
비전기식 칫솔 판매알선업,35,S2013,Sales arranging of toothbrushes [non-electric],
비전기식 칫솔 판매알선업,35,S2013,"Sales arranging of tooth brushes, non-electric",
수동식 칫솔 판매알선업,35,S2013,Sales arranging of manual toothbrushes,
유아용 칫솔 판매알선업,35,S2013,Sales arranging of toothbrushes for babies,
의료용 치실 판매알선업,35,S2013,Sales arranging of medicated dental floss,
의치용 용기 판매알선업,35,S2013,Sales arranging of denture baths,
의치용 칫솔 판매알선업,35,S2013,Sales arranging of toothbrushes for artificial teeth,
잇몸 및 치아 세척용 분무기 판매알선업,35,S2013,Sales arranging of sprayers for cleaning gums and teeth,
치간 클리너 판매알선업,35,S2013,Sales arranging of interdental cleaners,
치과용 덴탈플로스 판매알선업,35,S2013,Sales arranging of dental floss [floss for dental purposes],
치과용 치실 디스펜서 판매알선업,35,S2013,Sales arranging of dental floss dispensers,
치과용 테이프 판매알선업,35,S2013,Sales arranging of dental tape,
치실 판매알선업,35,S2013,Sales arranging of floss for dental purposes,
치아 및 잇몸세정용 물사출기구 판매알선업,35,S2013,Sales arranging of water apparatus for cleaning teeth and gums,
치아세정용 치간 칫솔 판매알선업,35,S2013,Sales arranging of interdental brushes for cleaning the teeth,
치약튜브 짜개 판매알선업,35,S2013,Sales arranging of toothpaste tube squeezers,
칫솔 판매알선업,35,S2013,Sales arranging of toothbrushes,
칫솔 판매알선업,35,S2013,Sales arranging of tooth brushes,
칫솔갑 판매알선업,35,S2013,Sales arranging of toothbrush cases,
칫솔갑 판매알선업,35,S2013,Sales arranging of tooth brush cases,
칫솔용 솔 판매알선업,35,S2013,Sales arranging of toothbrush bristles,
칫솔홀더 판매알선업,35,S2013,Sales arranging of toothbrush holders,
혀 클리너 브러시 판매알선업,35,S2013,Sales arranging of tongue cleaning brushes,
가구닦는 솔 판매알선업,35,S2014,Sales arranging of furniture polishing brushes,
가구용 먼지털이 판매알선업,35,S2014,Sales arranging of furniture dusters,
가정용 고무걸레 판매알선업,35,S2014,Sales arranging of squeegees for household purposes,
가정용 비금속제 재활용 쓰레기통 판매알선업,35,S2014,Sales arranging of non-metal recycling bins for household use,
가정용 비전기식 광택장치 및 기계 판매알선업,35,S2014,"Sales arranging of polishing apparatus and machines, for household purposes, non-electric",
가정용 빨래바구니 판매알선업,35,S2014,Sales arranging of laundry hampers for domestic or household use,
가정용 빨래통 판매알선업,35,S2014,Sales arranging of laundry bins for household purposes,
가정용 세탁물 분류기 판매알선업,35,S2014,Sales arranging of laundry sorters for household purposes,
가정용 세탁용 볼 판매알선업,35,S2014,Sales arranging of laundry balls [household utensils],
가정용 스크레이퍼 판매알선업,35,S2014,Sales arranging of scrapers for household purposes,
가정용 스펀지 판매알선업,35,S2014,Sales arranging of sponges for household purposes,
가정용 쓰레기통 판매알선업,35,S2014,Sales arranging of waste bins for household use,
가정용 연기흡입기 판매알선업,35,S2014,Sales arranging of smoke absorbers for household purposes,
가정용 청소용 솔 판매알선업,35,S2014,Sales arranging of brushes for cleaning for household purposes,
