지정상품(국문),NICE분류,유사군코드,지정상품(영문),
공업용 생명공학공정에서 추출한 효소 판매알선업,35,S2010,Sales arranging of enzymes derived from biotechnological processes for use in industry,
공업용 성에방지용 코팅제 판매알선업,35,S2010,Sales arranging of coating agents for defrosting for industrial purposes,
공업용 세라믹코팅제 판매알선업,35,S2010,Sales arranging of ceramic coating agents for industrial purposes,
공업용 세정제 판매알선업,35,S2010,Sales arranging of detergents for industrial use,
공업용 셀룰로오스 판매알선업,35,S2010,Sales arranging of cellulose for industrial purposes,
공업용 셀룰로오스에스테르 판매알선업,35,S2010,Sales arranging of cellulose esters for industrial purposes,
공업용 셀룰로오스에테르 판매알선업,35,S2010,Sales arranging of cellulose ethers for industrial purposes,
공업용 수산화 나트륨 판매알선업,35,S2010,Sales arranging of sodium hydroxide for industrial purposes,
공업용 수용성 플럭스 용제 판매알선업,35,S2010,Sales arranging of water-soluble flux agents for industrial purposes,
공업용 스케일제거제 판매알선업,35,S2010,Sales arranging of descaling preparations for industrial purposes,
공업용 스크래치방지용 코팅제 판매알선업,35,S2010,Sales arranging of coating agents for preventing scratches for industrial purposes,
공업용 스퍼터링세라믹분말 판매알선업,35,S2010,Sales arranging of sputtering ceramic powders for industrial purposes,
공업용 식육연화제 판매알선업,35,S2010,Sales arranging of meat tenderizers for industrial purposes,
공업용 실리콘 계면활성제 판매알선업,35,S2010,Sales arranging of silicone surfactants for industrial purposes,
공업용 아몰퍼스코팅제 판매알선업,35,S2010,Sales arranging of amorphous coating agents for industrial purposes,
공업용 아미노산 판매알선업,35,S2010,Sales arranging of amino acids for industrial purposes,
공업용 아세톤 판매알선업,35,S2010,Sales arranging of acetone for industrial use,
공업용 아세틸렌 판매알선업,35,S2010,Sales arranging of acetylene for industrial use,
공업용 아세틸렌 판매알선업,35,S2010,Sales arranging of acetylene for industrial purposes,
공업용 알긴산염 판매알선업,35,S2010,Sales arranging of alginates for industrial purposes,
공업용 알부민 판매알선업,35,S2010,Sales arranging of albumin for industrial purposes,
공업용 알코올 판매알선업,35,S2010,Sales arranging of alcohol for industrial purposes,
공업용 암모니아 판매알선업,35,S2010,Sales arranging of ammonia for industrial purposes,
